"","Gene","Locus_Tag","logFC","adj.P.Val"
"860","PA0647","PA0647",2.05788553773154,0.00427195533831525
"791","PA0578","PA0578",1.46466110861817,0.00427195533831525
"5046","fis","PA4853",1.27718266209842,0.00648991546469479
"3948","ffh","PA3746",1.22707702691239,0.00690274615710138
"1177","pmpR","PA0964",1.07821631999407,0.00690274615710138
"1851","PA1639","PA1639",1.69154723251649,0.00700076613755989
"2495","PA2288","PA2288",2.80985191213344,0.00727364321923417
"4761","rpmA","PA4567",1.0827461660913,0.00736950659068082
"3132","PA2929","PA2929",1.21879263017484,0.00772010543711651
"3311","purF","PA3108",1.34834695412773,0.00940415742272116
"5045","PA4852","PA4852",1.36561821545473,0.0102479475782369
"27","ig_125","ig_125",1.51074314706024,0.010684852675609
"3371","gyrA","PA3168",1.45040158758403,0.0108111384779346
"790","dnaG","PA0577",1.2140964975553,0.0114665653478004
"1364","imm2","PA1151",1.99200778901292,0.0132006884395072
"5619","adhA","PA5427",-1.96491249417739,0.0132006884395072
"4760","obg","PA4566",1.36240101656168,0.0132006884395072
"298","hcp1","PA0085",1.3447998978624,0.0132006884395072
"299","tagJ1","PA0086",1.26461891094192,0.0132006884395072
"3146","PA2943","PA2943",1.00300574254002,0.0135503498143525
"1368","nrdB","PA1155",1.76771877962995,0.0135862073345275
"3726","gloA1","PA3524",1.12386416643591,0.0142177592843853
"1135","PA0922","PA0922",1.67462717568863,0.0142985443363383
"3043","PA2840","PA2840",1.43921473771419,0.0169425104105175
"2012","tig","PA1800",1.55835058405802,0.0170583082359203
"2985","bamI","PA2782",1.37620862267536,0.0182150946317658
"3365","rpsA","PA3162",1.3027300507173,0.0182150946317658
"1988","sigX","PA1776",1.19915756185901,0.0185006639631814
"3944","rplS","PA3742",2.13779146731023,0.0188329536939473
"4864","prs","PA4670",1.12467001695216,0.0220282836368588
"3509","PA3306","PA3306",1.00976845060874,0.02337712434206
"3370","serC","PA3167",1.00172523264685,0.023783773170342
"4719","pilA","PA4525",-1.37769019562006,0.026859537718155
"4020","PA3818","PA3818",1.04951986702224,0.02713558361976
"3310","metZ","PA3107",1.51675530209439,0.0272573553165735
"297","tssC1","PA0084",1.03032511556377,0.0277185609849199
"1176","aspS","PA0963",1.40729478312219,0.0289154345259211
"5111","pcnA","PA4918",1.39504929781432,0.0307368798746206
"4627","rplM","PA4433",1.5344513220213,0.0344913810016739
"1767","ccoP2","PA1555",-1.57181385623668,0.0355770090126155
"2831","PA2627","PA2627",1.00859560275023,0.0360493982670974
"3617","PA3414","PA3414",1.42636634045859,0.0370167122020499
"413","PA0200","PA0200",-1.20805497275597,0.0370167122020499
"789","rpoD","PA0576",1.52636530281669,0.0408827870224754
"4942","tpiA","PA4748",1.31595835897008,0.0426020694491146
"5366","arcC","PA5173",-1.62901491881439,0.0459619279048757
"2016","hupB","PA1804",-1.34501167549896,0.0467918559165124
"3389","oprB","PA3186",-1.24788423609695,0.0469419240084698
"4519","PA4325","PA4325",1.15507065692554,0.0469419240084698
